START,END,TASK_TYPE,SOURCE_LANG,TARGET_LANG,HOURS,MANUFACTURER,MANUFACTURER_SECTOR,MANUFACTURER_INDUSTRY_GROUP,MANUFACTURER_INDUSTRY,MANUFACTURER_SUBINDUSTRY
2018-12-21 09:00:00,2018-12-21 13:00:00,ProofReading,English,Spanish (Iberian),2.0,MedClean Innovations,Health Care,Health Care Providers,Health Care Facilities,Long-Term Care Facilities
2018-12-17 10:30:00,2018-12-18 18:00:00,Translation,English,German,8.5,HealthyLife,Health Care,Health Care Providers,Health Care Facilities,Long-Term Care Facilities
