epoch,train_loss,val_loss,lr,saved
1,0.5621330303675705,0.544687600268258,0.00012000000031466397,True
2,0.5550793116949451,0.5436187808584964,0.00012000000031343059,True
3,0.5542939686722779,0.5441877919384557,0.00012000000031408675,False
4,0.5539799186365059,0.5426345861620373,0.00012000000031229651,True
5,0.5538494338018457,0.5431844234211832,0.00012000000031292968,False
6,0.5537032411608347,0.542523205662385,0.00012000000031216857,True
7,0.5536016656383831,0.5422937119873161,0.00012000000031190446,True
8,0.5534720886249518,0.5424044801638677,0.00012000000031203197,False
9,0.5534085717331431,0.5424105693132449,0.0001200000003120389,False
10,0.5533387423522834,0.5431430736413368,0.00012000000031288198,False
11,0.5532613228545732,0.5424094941116806,0.0001200000003120376,False
12,0.553217407677098,0.5421979373846298,0.00012000000031179387,True
13,0.5531533586469919,0.542311298337757,0.00012000000031192441,False
14,0.5531335766441725,0.5422514181615959,0.00012000000031185589,False
15,0.5530620905665746,0.5422187184676146,0.00012000000031181816,False
16,0.5530218428387537,0.5423172263508169,0.00012000000031193135,False
17,0.5530024736557161,0.542180105432486,0.00012000000031177349,True
18,0.5529266909756065,0.5420448173315097,0.00012000000031161823,True
19,0.5529193515106503,0.5431017252624545,0.00012000000031283427,False
20,0.5528750444411008,0.5424694096685475,0.00012000000031210656,False
21,0.5528688803465348,0.5422141057813269,0.00012000000031181252,False
22,0.5528317148899101,0.5422263101380096,0.0001200000003118264,False
23,0.5527910414645583,0.5421466141939163,0.00012000000031173533,False
24,0.552784938023207,0.5426560705288862,0.00012000000031232123,False
25,0.5527497227973547,0.5421520182464876,0.0001200000003117414,False
