epoch,train_loss,val_loss,lr,saved
1,0.012576664001294353,0.010979258083742767,0.001,True
2,0.01193483848044871,0.010860127151309457,0.001,True
3,0.01176654301745558,0.01080894563765181,0.001,True
4,0.011669618778542744,0.010803955075756677,0.001,True
5,0.011615509276112941,0.011264370595391277,0.001,False
6,0.01157197866177356,0.010917589384262133,0.001,False
7,0.011522288263584434,0.010758597310990822,0.001,True
8,0.011487923023905841,0.010712560296119177,0.001,True
9,0.011465656153940651,0.010574001332330062,0.001,True
10,0.011434581246155687,0.01065531703197549,0.001,False
11,0.011412879819040532,0.010592345653405208,0.001,False
12,0.011382602133448714,0.010542987808409971,0.001,True
13,0.011361781684924119,0.010547520989586383,0.001,False
14,0.011346383358071824,0.010524804209263031,0.001,True
15,0.01132550514147842,0.010598774857432058,0.001,False
16,0.01130763097266505,0.010600753026298124,0.001,False
17,0.011303897807596462,0.010495330964869294,0.001,True
18,0.011274888068538269,0.01054928069143879,0.001,False
19,0.011266206417352901,0.010760202412300414,0.001,False
20,0.011253959250938306,0.010579056303702095,0.001,False
21,0.011240590193715245,0.010534888201991638,0.0005,False
22,0.0111641773527967,0.010701099554691567,0.0005,False
23,0.011144540727221122,0.010490640052628088,0.0005,True
24,0.01112613342201485,0.010544861986191546,0.0005,False
25,0.01112454739123288,0.010542498965293341,0.0005,False
26,0.011106614899943265,0.010503203331565706,0.0005,False
27,0.01111590015908967,0.010500908448819155,0.00025,False
28,0.011055467660235579,0.01056341226314214,0.00025,False
29,0.011051715647916786,0.010522589718687256,0.00025,False
30,0.011047405184707227,0.010461822156915811,0.00025,True
31,0.011036436587399043,0.010490212821238007,0.00025,False
32,0.011029295360135992,0.010502479560139687,0.00025,False
33,0.011025879632236854,0.010502281980692557,0.00025,False
34,0.011029297545552595,0.010482136178152518,0.000125,False
35,0.011003782624748803,0.010476858134717132,0.000125,False
36,0.010996401965195223,0.010494900611020201,0.000125,False
37,0.010999314090353415,0.010485807012359669,0.000125,False
