epoch,train_loss,val_loss,lr,saved
1,0.012934867376625494,0.011264786508698494,0.001,True
2,0.011871731630458205,0.010973633148381089,0.001,True
3,0.011757421730252808,0.01177602518015565,0.001,False
4,0.011671382793883555,0.010714602835762959,0.001,True
5,0.011617697205577494,0.010854695694377789,0.001,False
6,0.011553122848750276,0.010724310690744056,0.001,False
7,0.011524234308118322,0.01062174611366712,0.001,True
8,0.011466245396374083,0.010724364215524024,0.001,False
9,0.011444063387098354,0.010634282876888656,0.001,False
10,0.011414926837449702,0.011099425098325452,0.001,False
11,0.011386934479376262,0.010632386663530627,0.0005,False
12,0.011300106819642605,0.010572139020913687,0.0005,True
13,0.011272125578378915,0.010624991857215889,0.0005,False
14,0.011261813149342308,0.010557946881963912,0.0005,True
15,0.011239483037928004,0.010554894516801732,0.0005,True
16,0.011227207161387828,0.01061554754901136,0.0005,False
17,0.011210631499274516,0.010539383153056997,0.0005,True
18,0.01119756222705294,0.010504922146598499,0.0005,True
19,0.01119027143450798,0.01074112752516173,0.0005,False
20,0.011178982465273955,0.010629268282721949,0.0005,False
21,0.011175042604809064,0.01054559581570773,0.0005,False
22,0.011154984204915196,0.010533937202113815,0.00025,False
23,0.011105003542078338,0.010497295574691052,0.00025,True
24,0.011091243357723988,0.01063558903291949,0.00025,False
25,0.011085160204982304,0.01053631075251943,0.00025,False
26,0.011076380260755742,0.010517812806030369,0.00025,False
27,0.011077288399953013,0.010504217744351197,0.000125,False
28,0.01104120045877813,0.010503990583631218,0.000125,False
29,0.011034164190240467,0.010504623314636386,0.000125,False
30,0.011033198709840016,0.010468597438695848,0.000125,True
31,0.011024155968436944,0.010497529798338555,0.000125,False
32,0.011022775622748407,0.010490557187610966,0.000125,False
33,0.01101825417591603,0.010499976797459218,0.000125,False
34,0.011015009163343553,0.010531248459512862,6.25e-05,False
35,0.010995524714201076,0.010487104530454192,6.25e-05,False
36,0.010988249088763164,0.010508159724756693,6.25e-05,False
37,0.010992854489989939,0.01048581702555092,6.25e-05,False
